date,price,company
2020-05-01,101.43082427978516,3M
2020-05-04,101.29430389404297,3M
2020-05-05,100.6322021484375,3M
2020-05-06,99.79264068603516,3M
2020-05-07,99.4786376953125,3M
2020-05-08,101.36939239501953,3M
2020-05-11,99.47183227539062,3M
2020-05-12,96.59819030761719,3M
2020-05-13,92.91226959228516,3M
2020-05-14,92.82353973388672,3M
2020-05-15,94.66648864746094,3M
2020-05-18,101.88814544677734,3M
2020-05-19,101.2806396484375,3M
2020-05-20,102.16800689697266,3M
2020-05-21,100.51358795166016,3M
2020-05-22,100.94786071777344,3M
2020-05-26,104.83576202392578,3M
2020-05-27,109.02009582519531,3M
2020-05-28,108.1032943725586,3M
2020-05-29,107.84132385253906,3M
2020-06-01,107.24848175048828,3M
2020-06-02,108.66853332519531,3M
2020-06-03,111.12950897216797,3M
2020-06-04,112.05322265625,3M
2020-06-05,115.4034423828125,3M
2020-06-08,115.03119659423828,3M
2020-06-09,114.91400909423828,3M
2020-06-10,112.98384094238281,3M
2020-06-11,105.04257202148438,3M
2020-06-12,106.75904083251953,3M
2020-06-15,108.73057556152344,3M
2020-06-16,110.06788635253906,3M
2020-06-17,109.75772094726562,3M
2020-06-18,109.75078582763672,3M
2020-06-19,109.02009582519531,3M
2020-06-22,108.0136489868164,3M
2020-06-23,108.80641174316406,3M
2020-06-24,104.9322738647461,3M
2020-06-25,106.62117767333984,3M
2020-06-26,105.13907623291016,3M
2020-06-29,107.24161529541016,3M
2020-06-30,107.53112030029297,3M
2020-07-01,107.14507293701172,3M
2020-07-02,108.25493621826172,3M
2020-07-06,108.98562622070312,3M
2020-07-07,106.72457885742188,3M
2020-07-08,106.55912017822266,3M
2020-07-09,104.40148162841797,3M
2020-07-10,105.36656951904297,3M
2020-07-13,106.7107925415039,3M
2020-07-14,109.28895568847656,3M
2020-07-15,109.83354187011719,3M
2020-07-16,110.64006805419922,3M
2020-07-17,110.1781997680664,3M
2020-07-20,107.79304504394531,3M
2020-07-21,108.77882385253906,3M
2020-07-22,109.40611267089844,3M
2020-07-23,109.80595397949219,3M
2020-07-24,110.18508911132812,3M
2020-07-27,112.52887725830078,3M
2020-07-28,107.0761489868164,3M
2020-07-29,107.7103500366211,3M
2020-07-30,104.86332702636719,3M
2020-07-31,103.72592163085938,3M
2020-08-03,103.68455505371094,3M
2020-08-04,104.23603820800781,3M
2020-08-05,107.08991241455078,3M
2020-08-06,107.53800964355469,3M
2020-08-07,109.14419555664062,3M
2020-08-10,111.28804016113281,3M
2020-08-11,112.62537384033203,3M
2020-08-12,113.23201751708984,3M
2020-08-13,114.33497619628906,3M
2020-08-14,114.50040435791016,3M
2020-08-17,113.54222106933594,3M
2020-08-18,113.31470489501953,3M
2020-08-19,113.0321273803711,3M
2020-08-20,112.3427505493164,3M
2020-08-21,112.48882293701172,3M
2020-08-24,113.75486755371094,3M
2020-08-25,113.45574188232422,3M
2020-08-26,114.01224517822266,3M
2020-08-27,114.13746643066406,3M
2020-08-28,115.23652648925781,3M
2020-08-31,113.40008544921875,3M
2020-09-01,114.63832092285156,3M
2020-09-02,117.91468811035156,3M
2020-09-03,115.68871307373047,3M
2020-09-04,115.31304931640625,3M
2020-09-08,113.50443267822266,3M
2020-09-09,115.26433563232422,3M
2020-09-10,113.4905014038086,3M
2020-09-11,115.59129333496094,3M
2020-09-14,117.18425750732422,3M
2020-09-15,115.86954498291016,3M
2020-09-16,117.91468811035156,3M
2020-09-17,119.91108703613281,3M
2020-09-18,117.94252014160156,3M
2020-09-21,112.24536895751953,3M
2020-09-22,112.92705535888672,3M
2020-09-23,110.9584732055664,3M
2020-09-24,111.59147644042969,3M
2020-09-25,111.48714447021484,3M
2020-09-28,112.45404815673828,3M
2020-09-29,111.16714477539062,3M
2020-09-30,111.4245376586914,3M
2020-10-01,110.4576187133789,3M
2020-10-02,111.54974365234375,3M
2020-10-05,113.21228790283203,3M
2020-10-06,112.8505630493164,3M
2020-10-07,115.81388854980469,3M
2020-10-08,116.66253662109375,3M
2020-10-09,117.76859283447266,3M
2020-10-12,117.31641387939453,3M
2020-10-13,115.91127014160156,3M
2020-10-14,117.14252471923828,3M
2020-10-15,117.61554718017578,3M
2020-10-16,118.93028259277344,3M
2020-10-19,117.94252014160156,3M
2020-10-20,118.91637420654297,3M
2020-10-21,117.67813873291016,3M
2020-10-22,118.74939727783203,3M
2020-10-23,118.11640167236328,3M
2020-10-26,115.5843276977539,3M
2020-10-27,112.01578521728516,3M
2020-10-28,110.27674102783203,3M
2020-10-29,110.24197387695312,3M
2020-10-30,111.27149200439453,3M
2020-11-02,113.34442138671875,3M
2020-11-03,115.13219451904297,3M
2020-11-04,111.41062927246094,3M
2020-11-05,113.52528381347656,3M
2020-11-06,113.40008544921875,3M
2020-11-09,113.6853256225586,3M
2020-11-10,117.65729522705078,3M
2020-11-11,117.70597076416016,3M
2020-11-12,116.20344543457031,3M
2020-11-13,118.10945892333984,3M
2020-11-16,120.94061279296875,3M
2020-11-17,120.7875747680664,3M
2020-11-18,119.22940826416016,3M
2020-11-19,120.40814971923828,3M
2020-11-20,121.30623626708984,3M
2020-11-23,122.18328857421875,3M
2020-11-24,124.24610900878906,3M
2020-11-25,124.274169921875,3M
2020-11-27,124.11283111572266,3M
2020-11-30,121.19397735595703,3M
2020-12-01,119.64335632324219,3M
2020-12-02,120.57654571533203,3M
2020-12-03,120.56251525878906,3M
2020-12-04,121.00453186035156,3M
2020-12-07,119.38375854492188,3M
2020-12-08,121.00453186035156,3M
2020-12-09,122.99018096923828,3M
2020-12-10,121.72724151611328,3M
2020-12-11,122.09911346435547,3M
2020-12-14,121.43958282470703,3M
2020-12-15,122.56219482421875,3M
2020-12-16,123.07437133789062,3M
2020-12-17,123.94438934326172,3M
2020-12-18,123.78303527832031,3M
2020-12-21,123.2497787475586,3M
2020-12-22,122.63233947753906,3M
2020-12-23,122.07808685302734,3M
2020-12-24,122.44993591308594,3M
2020-12-28,122.5832290649414,3M
2020-12-29,121.97978973388672,3M
2020-12-30,122.16223907470703,3M
2020-12-31,122.63937377929688,3M
2021-01-04,120.59058380126953,3M
2021-01-05,120.38714599609375,3M
2021-01-06,122.21837615966797,3M
2021-01-07,119.08207702636719,3M
2021-01-08,116.906982421875,3M
2021-01-11,115.9106216430664,3M
2021-01-12,116.8298110961914,3M
2021-01-13,116.66841888427734,3M
2021-01-14,116.75962829589844,3M
2021-01-15,116.15624237060547,3M
2021-01-19,118.66108703613281,3M
2021-01-20,119.43287658691406,3M
2021-01-21,119.74861907958984,3M
2021-01-22,118.60492706298828,3M
2021-01-25,119.55216217041016,3M
2021-01-26,123.45323944091797,3M
2021-01-27,130.96078491210938,3M
2021-01-28,128.69447326660156,3M
2021-01-29,123.2497787475586,3M
2021-02-01,122.57621002197266,3M
2021-02-02,122.80072784423828,3M
2021-02-03,123.12349700927734,3M
2021-02-04,124.26016998291016,3M
2021-02-05,125.60029602050781,3M
2021-02-08,126.8281478881836,3M
2021-02-09,126.9544448852539,3M
2021-02-10,127.05267333984375,3M
2021-02-11,125.36192321777344,3M
2021-02-12,126.41597747802734,3M
2021-02-16,124.95162963867188,3M
2021-02-17,124.96575927734375,3M
2021-02-18,126.8899154663086,3M
2021-02-19,124.88796997070312,3M
2021-02-22,124.59083557128906,3M
2021-02-23,124.62621307373047,3M
2021-02-24,125.6590347290039,3M
2021-02-25,126.45845031738281,3M
2021-02-26,123.84097290039062,3M
2021-03-01,124.79595947265625,3M
2021-03-02,125.29119110107422,3M
2021-03-03,125.96324920654297,3M
2021-03-04,125.6590347290039,3M
2021-03-05,127.90158081054688,3M
2021-03-08,130.00257873535156,3M
2021-03-09,128.17037963867188,3M
2021-03-10,130.52609252929688,3M
2021-03-11,130.56854248046875,3M
2021-03-12,130.8161163330078,3M
2021-03-15,134.04197692871094,3M
2021-03-16,132.18145751953125,3M
2021-03-17,133.20721435546875,3M
2021-03-18,135.11724853515625,3M
2021-03-19,133.49728393554688,3M
2021-03-22,134.034912109375,3M
2021-03-23,133.2284393310547,3M
2021-03-24,134.89796447753906,3M
2021-03-25,136.6028289794922,3M
2021-03-26,137.862060546875,3M
2021-03-29,138.47042846679688,3M
2021-03-30,137.69223022460938,3M
2021-03-31,136.3057403564453,3M
2021-04-01,136.31988525390625,3M
2021-04-05,137.92572021484375,3M
2021-04-06,137.83377075195312,3M
2021-04-07,137.91160583496094,3M
2021-04-08,138.45626831054688,3M
2021-04-09,140.06922912597656,3M
2021-04-12,139.94891357421875,3M
2021-04-13,138.98683166503906,3M
2021-04-14,139.18490600585938,3M
2021-04-15,139.70132446289062,3M
2021-04-16,140.47952270507812,3M
2021-04-19,140.48654174804688,3M
2021-04-20,140.28140258789062,3M
2021-04-21,142.10658264160156,3M
2021-04-22,142.12071228027344,3M
2021-04-23,143.0403594970703,3M
2021-04-26,141.22227478027344,3M
2021-04-27,137.557861328125,3M
2021-04-28,138.60487365722656,3M
2021-04-29,140.8119659423828,3M
2021-04-30,139.4607696533203,3M
2021-05-03,140.500732421875,3M
2021-05-04,141.04544067382812,3M
2021-05-05,142.50274658203125,3M
2021-05-06,143.18893432617188,3M
2021-05-07,143.65579223632812,3M
2021-05-10,146.66943359375,3M
2021-05-11,144.1156463623047,3M
2021-05-12,140.68466186523438,3M
2021-05-13,143.8963165283203,3M
2021-05-14,144.58250427246094,3M
2021-05-17,145.09896850585938,3M
2021-05-18,143.6275177001953,3M
2021-05-19,143.3233184814453,3M
2021-05-20,143.70101928710938,3M
2021-05-21,143.85067749023438,3M
2021-05-24,144.38514709472656,3M
2021-05-25,143.74378967285156,3M
2021-05-26,143.65110778808594,3M
2021-05-27,144.8341064453125,3M
2021-05-28,144.6915740966797,3M
2021-06-01,144.8055877685547,3M
2021-06-02,144.8697052001953,3M
2021-06-03,145.1405487060547,3M
2021-06-04,146.83657836914062,3M
2021-06-07,145.18328857421875,3M
2021-06-08,145.08352661132812,3M
2021-06-09,144.477783203125,3M
2021-06-10,144.7556915283203,3M
2021-06-11,144.52767944335938,3M
2021-06-14,143.49435424804688,3M
2021-06-15,142.95989990234375,3M
2021-06-16,140.32318115234375,3M
2021-06-17,139.0618133544922,3M
2021-06-18,136.53912353515625,3M
2021-06-21,139.1116943359375,3M
2021-06-22,139.0618133544922,3M
2021-06-23,137.0807342529297,3M
2021-06-24,137.72207641601562,3M
2021-06-25,138.78387451171875,3M
2021-06-28,140.031005859375,3M
2021-06-29,139.69606018066406,3M
2021-06-30,141.5488739013672,3M
2021-07-01,141.876708984375,3M
2021-07-02,142.44679260253906,3M
2021-07-06,140.3088836669922,3M
2021-07-07,142.4254150390625,3M
2021-07-08,141.2923126220703,3M
2021-07-09,143.23780822753906,3M
2021-07-12,142.51092529296875,3M
2021-07-13,142.2401580810547,3M
2021-07-14,144.54188537597656,3M
2021-07-15,144.37086486816406,3M
2021-07-16,142.0762176513672,3M
2021-07-19,140.78639221191406,3M
2021-07-20,143.1095428466797,3M
2021-07-21,143.0738983154297,3M
2021-07-22,141.86241149902344,3M
2021-07-23,142.87437438964844,3M
2021-07-26,143.71527099609375,3M
2021-07-27,142.86012268066406,3M
2021-07-28,141.29946899414062,3M
2021-07-29,141.22108459472656,3M
2021-07-30,141.0572052001953,3M
2021-08-02,140.75784301757812,3M
2021-08-03,143.25921630859375,3M
2021-08-04,140.7650146484375,3M
2021-08-05,140.95742797851562,3M
2021-08-06,141.1925811767578,3M
2021-08-09,140.6937255859375,3M
2021-08-10,141.99073791503906,3M
2021-08-11,143.64401245117188,3M
2021-08-12,143.5442657470703,3M
2021-08-13,142.93850708007812,3M
2021-08-16,144.17848205566406,3M
2021-08-17,142.2045135498047,3M
2021-08-18,140.03811645507812,3M
2021-08-19,139.21861267089844,3M
2021-08-20,139.419677734375,3M
2021-08-23,139.79306030273438,3M
2021-08-24,139.84329223632812,3M
2021-08-25,139.5488739013672,3M
2021-08-26,140.25262451171875,3M
2021-08-27,140.0587158203125,3M
2021-08-30,140.86294555664062,3M
2021-08-31,139.83615112304688,3M
2021-09-01,138.90264892578125,3M
2021-09-02,139.94386291503906,3M
2021-09-03,139.58480834960938,3M
2021-09-07,133.2586669921875,3M
2021-09-08,134.91738891601562,3M
2021-09-09,133.38075256347656,3M
2021-09-10,132.51902770996094,3M
2021-09-13,133.00733947753906,3M
2021-09-14,130.9895782470703,3M
2021-09-15,132.260498046875,3M
2021-09-16,131.16189575195312,3M
2021-09-17,130.32176208496094,3M
2021-09-20,129.63241577148438,3M
2021-09-21,128.1173095703125,3M
2021-09-22,129.136962890625,3M
2021-09-23,130.35047912597656,3M
2021-09-24,129.99862670898438,3M
2021-09-27,130.5371856689453,3M
2021-09-28,129.2877655029297,3M
2021-09-29,129.8837432861328,3M
2021-09-30,125.96309661865234,3M
2021-10-01,126.86788177490234,3M
2021-10-04,126.40829467773438,3M
2021-10-05,127.72953796386719,3M
2021-10-06,128.10293579101562,3M
2021-10-07,127.6720962524414,3M
2021-10-08,127.06175994873047,3M
2021-10-11,126.58064270019531,3M
2021-10-12,126.04208374023438,3M
2021-10-13,127.21969604492188,3M
2021-10-14,129.48159790039062,3M
2021-10-15,130.6448974609375,3M
2021-10-18,130.48690795898438,3M
2021-10-19,130.91055297851562,3M
2021-10-20,130.9895782470703,3M
2021-10-21,130.77413940429688,3M
2021-10-22,129.82627868652344,3M
2021-10-25,130.9751739501953,3M
2021-10-26,130.80287170410156,3M
2021-10-27,127.98807525634766,3M
2021-10-28,129.15847778320312,3M
2021-10-29,128.30398559570312,3M
2021-11-01,128.9502716064453,3M
2021-11-02,130.66644287109375,3M
2021-11-03,130.8531494140625,3M
2021-11-04,129.68988037109375,3M
2021-11-05,130.5443572998047,3M
2021-11-08,130.357666015625,3M
2021-11-09,130.20687866210938,3M
2021-11-10,130.9895782470703,3M
2021-11-11,129.4026641845703,3M
2021-11-12,131.87997436523438,3M
2021-11-15,131.62863159179688,3M
2021-11-16,131.6717071533203,3M
2021-11-17,131.6501922607422,3M
2021-11-18,129.41329956054688,3M
2021-11-19,129.746337890625,3M
2021-11-22,130.05760192871094,3M
2021-11-23,129.91282653808594,3M
2021-11-24,128.58804321289062,3M
2021-11-26,127.06062316894531,3M
2021-11-29,127.57460021972656,3M
2021-11-30,123.09358978271484,3M
2021-12-01,123.59308624267578,3M
2021-12-02,123.25284576416016,3M
2021-12-03,124.93953704833984,3M
2021-12-06,128.27674865722656,3M
2021-12-07,127.80619812011719,3M
2021-12-08,127.4370346069336,3M
2021-12-09,127.36465454101562,3M
2021-12-10,128.20436096191406,3M
2021-12-13,126.38013458251953,3M
2021-12-14,126.48147583007812,3M
2021-12-15,127.24883270263672,3M
2021-12-16,129.08030700683594,3M
2021-12-17,126.50318908691406,3M
2021-12-20,124.9757308959961,3M
2021-12-21,125.17842102050781,3M
2021-12-22,124.9757308959961,3M
2021-12-23,126.6624755859375,3M
2021-12-27,127.91480255126953,3M
2021-12-28,128.5952911376953,3M
2021-12-29,129.15269470214844,3M
2021-12-30,128.5952911376953,3M
2021-12-31,128.58804321289062,3M
2022-01-03,128.66769409179688,3M
2022-01-04,130.47023010253906,3M
2022-01-05,129.93450927734375,3M
2022-01-06,128.8559112548828,3M
2022-01-07,130.2675323486328,3M
2022-01-10,128.42880249023438,3M
2022-01-11,129.56533813476562,3M
2022-01-12,129.8838348388672,3M
2022-01-13,131.04208374023438,3M
2022-01-14,129.3916015625,3M
2022-01-18,129.05859375,3M
2022-01-19,129.203369140625,3M
2022-01-20,125.64897918701172,3M
2022-01-21,124.98296356201172,3M
2022-01-24,125.0915756225586,3M
2022-01-25,125.7792739868164,3M
2022-01-26,122.5578842163086,3M
2022-01-27,123.180419921875,3M
2022-01-28,118.06964874267578,3M
2022-01-31,120.18347930908203,3M
2022-02-01,121.20417785644531,3M
2022-02-02,120.64678192138672,3M
2022-02-03,119.00348663330078,3M
2022-02-04,116.35397338867188,3M
2022-02-07,116.67249298095703,3M
2022-02-08,117.57013702392578,3M
2022-02-09,118.46055603027344,3M
2022-02-10,115.63728332519531,3M
2022-02-11,115.4925308227539,3M
2022-02-14,114.38494110107422,3M
2022-02-15,113.89990234375,3M
2022-02-16,112.66203308105469,3M
2022-02-17,108.64205169677734,3M
2022-02-18,107.89651489257812,3M
2022-02-22,107.26063537597656,3M
2022-02-23,105.52838134765625,3M
2022-02-24,105.03135681152344,3M
2022-02-25,110.00885009765625,3M
2022-02-28,108.64935302734375,3M
2022-03-01,105.798828125,3M
2022-03-02,107.60415649414062,3M
2022-03-03,108.3935546875,3M
2022-03-04,107.24600219726562,3M
